participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c143051,8,8,bril,sqip,fnoq,bkgv,2,High_Ortho_IA,6387,High_Ortho,1,1,3,0.3,2450,0.3821,3,1,0.1,840,1,1,18,TRUE,18,1
c143051,8,8,bril,sqip,fnoq,bkgv,2,Low_Ortho_IA,6387,High_Ortho,1,1,2,0.2,792,0.1235,1,2,0.2,792,1,1,18,TRUE,18,1
c143051,8,8,bril,sqip,fnoq,bkgv,2,Illegal_IA,6387,High_Ortho,1,1,1,0.1,678,0.1057,1,1,0.1,678,1,1,18,TRUE,18,1
c143051,8,8,bril,sqip,fnoq,bkgv,2,Unpron_IA,6387,High_Ortho,1,1,3,0.3,2192,0.3419,2,2,0.2,1850,1,1,18,TRUE,18,1
c143051,9,9,prit,twap,wgiy,bkjd,3,High_Ortho_IA,4332,High_Ortho,1,1,2,0.2222,3102,0.6909,2,1,0.1111,616,1,1,18,TRUE,18,1
c143051,9,9,prit,twap,wgiy,bkjd,3,Low_Ortho_IA,4332,High_Ortho,1,1,1,0.1111,538,0.1198,1,1,0.1111,538,1,1,18,TRUE,18,1
c143051,9,9,prit,twap,wgiy,bkjd,3,Illegal_IA,4332,High_Ortho,1,1,2,0.2222,370,0.0824,1,2,0.2222,370,1,1,18,TRUE,18,1
c143051,9,9,prit,twap,wgiy,bkjd,3,Unpron_IA,4332,High_Ortho,1,1,2,0.2222,326,0.0726,1,2,0.2222,326,1,1,18,TRUE,18,1
c143051,10,10,grat,wrup,sviw,tkvc,2,High_Ortho_IA,9099,High_Ortho,1,1,7,0.4118,4630,0.5277,5,1,0.0588,888,1,1,18,TRUE,18,1
c143051,10,10,grat,wrup,sviw,tkvc,2,Low_Ortho_IA,9099,High_Ortho,1,1,6,0.3529,3106,0.354,5,1,0.0588,260,1,1,18,TRUE,18,1
c143051,10,10,grat,wrup,sviw,tkvc,2,Illegal_IA,9099,High_Ortho,1,1,1,0.0588,468,0.0533,1,1,0.0588,468,1,1,18,TRUE,18,1
c143051,10,10,grat,wrup,sviw,tkvc,2,Unpron_IA,9099,High_Ortho,1,1,1,0.0588,326,0.0372,1,1,0.0588,326,1,1,18,TRUE,18,1
c143051,11,11,whon,phud,fvej,kdsj,3,High_Ortho_IA,4970,High_Ortho,1,1,4,0.3077,1890,0.3894,3,1,0.0769,330,1,1,18,TRUE,18,1
c143051,11,11,whon,phud,fvej,kdsj,3,Low_Ortho_IA,4970,High_Ortho,1,1,2,0.1538,930,0.1916,2,1,0.0769,508,1,1,18,TRUE,18,1
